ID_CLIENTE;SAFRA_REF;DATA_EMISSAO_DOCUMENTO;DATA_PAGAMENTO;DATA_VENCIMENTO;VALOR_A_PAGAR;TAXA
1661240395903230676;2018-08;2018-08-17;2018-09-06;2018-09-06;35516.41;6.99
1661240395903230676;2018-08;2018-08-19;2018-09-11;2018-09-10;17758.21;6.99
1661240395903230676;2018-08;2018-08-26;2018-09-18;2018-09-17;17431.96;6.99
1661240395903230676;2018-08;2018-08-30;2018-10-11;2018-10-05;1341.0;6.99
1661240395903230676;2018-08;2018-08-31;2018-09-20;2018-09-20;21309.85;6.99
8274986328479596038;2018-08;2018-08-17;2018-09-25;2018-09-25;48811.35;6.99
345447888460137901;2018-08;2018-08-17;2018-09-05;2018-09-05;55131.2;5.99
1003144834589372198;2018-08;2018-08-17;2018-09-03;2018-09-03;85855.04;6.99
324916756972236008;2018-08;2018-08-17;2018-09-03;2018-09-03;42072.0;5.99
324916756972236008;2018-08;2018-08-19;2018-09-05;2018-09-05;21071.97;5.99
324916756972236008;2018-08;2018-08-20;2018-09-06;2018-09-06;34539.46;5.99
324916756972236008;2018-08;2018-08-21;2018-09-10;2018-09-10;54977.25;5.99
324916756972236008;2018-08;2018-08-28;2018-09-14;2018-09-14;30748.43;5.99
324916756972236008;2018-08;2018-08-28;2018-09-14;2018-09-14;17270.23;5.99
324916756972236008;2018-08;2018-08-28;2018-09-14;2018-09-14;39237.83;5.99
324916756972236008;2018-08;2018-08-31;2018-09-17;2018-09-17;91751.03;5.99
324916756972236008;2018-08;2018-08-31;2018-09-17;2018-09-17;60167.05;5.99
324916756972236008;2018-09;2018-09-02;2018-09-19;2018-09-19;21499.85;5.99
324916756972236008;2018-09;2018-09-03;2018-09-19;2018-09-19;17690.72;5.99
324916756972236008;2018-09;2018-09-13;2018-10-01;2018-10-01;17240.9;5.99
324916756972236008;2018-09;2018-09-14;2018-10-01;2018-10-01;21474.5;5.99
4679462479444735708;2018-08;2018-08-17;2018-09-03;2018-09-03;10508.1;8.99
4679462479444735708;2018-08;2018-08-21;2018-09-10;2018-09-10;10900.95;8.99
4679462479444735708;2018-08;2018-08-22;2018-09-10;2018-09-10;10900.95;8.99
4679462479444735708;2018-08;2018-08-23;2018-09-10;2018-09-10;10900.95;8.99
4679462479444735708;2018-08;2018-08-26;2018-09-11;2018-09-11;11201.0;8.99
4679462479444735708;2018-09;2018-09-07;2018-09-24;2018-09-24;17354.3;8.99
1276604410881911401;2018-08;2018-08-17;2018-12-31;2018-12-05;125.56;6.99
1276604410881911401;2018-08;2018-08-17;2018-10-04;2018-09-19;148334.09;6.99
1276604410881911401;2018-08;2018-08-20;2018-12-31;2018-12-05;4545.52;6.99
1276604410881911401;2018-08;2018-08-20;2018-09-12;2018-09-26;75827.62;6.99
1276604410881911401;2018-08;2018-08-21;2018-09-19;2018-10-03;144761.82;6.99
1276604410881911401;2018-08;2018-08-26;2018-09-19;2018-10-03;157405.05;6.99
1276604410881911401;2018-08;2018-08-28;2018-09-26;2018-10-10;151655.24;6.99
1276604410881911401;2018-08;2018-08-28;2018-09-19;2018-10-03;76953.58;6.99
1276604410881911401;2018-09;2018-09-03;2018-10-18;2018-10-10;148334.09;6.99
1276604410881911401;2018-09;2018-09-13;2018-10-04;2018-10-17;151655.24;6.99
8123515208041701633;2018-08;2018-08-17;2018-09-03;2018-09-03;30460.82;5.99
8123515208041701633;2018-08;2018-08-21;2018-09-06;2018-09-06;61249.8;5.99
8123515208041701633;2018-08;2018-08-24;2018-09-10;2018-09-10;76765.5;5.99
8123515208041701633;2018-08;2018-08-30;2018-10-05;2018-10-05;945.6;5.99
