SAFRA_REF,INADIMPLENTE,VALOR_A_PAGAR,TAXA,RENDA_MES_ANTERIOR,DIAS_DE_CADASTRO,QTD_COBRANCAS_ANTERIORES,QTD_ATRASOS_ANTERIORES,TAXA_ATRASO_HISTORICA,FLAG_PF,PORTE_MEDIO,PORTE_Outros / Nao aplica ,PORTE_PEQUENO,SEGMENTO_INDUSTRIAL_Indústria,SEGMENTO_INDUSTRIAL_Outros / Nao aplica ,SEGMENTO_INDUSTRIAL_Serviços,REGIAO_Desconhecido,REGIAO_Nordeste,REGIAO_Norte,REGIAO_Sudeste,REGIAO_Sul
2018-08-01,0,100616.1,5.99,240502.0,2741,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-08-01,0,89552.8,5.99,240502.0,2746,1,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-08-01,0,94062.8,5.99,240502.0,2747,2,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-08-01,0,102686.1,5.99,240502.0,2747,3,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-08-01,0,51393.0,5.99,240502.0,2748,4,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,59610.76,5.99,300502.0,2759,5,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,39398.06,5.99,300502.0,2761,6,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,55416.75,5.99,300502.0,2764,7,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,11751.35,5.99,300502.0,2766,8,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,35985.0,5.99,300502.0,2772,9,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,52410.75,5.99,300502.0,2775,10,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,97584.8,5.99,300502.0,2778,11,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
2018-09-01,0,98520.45,5.99,300502.0,2779,12,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
